t_monotonic,ax,ay,az,gx,gy,gz
233323.118764,-0.083,0.095,0.968,0.49,1.65,3.94
233323.129823,-0.08,0.091,0.98,1.8,1.77,2.9
233323.139418,-0.089,0.087,0.992,2.08,1.46,2.17
233323.149966,-0.092,0.085,0.996,1.07,1.62,1.34
233323.160635,-0.094,0.096,1.009,-1.28,2.11,0.79
233323.174104,-0.094,0.108,1.012,-3.42,2.2,0.73
233323.179139,-0.089,0.124,1.013,-5.1,2.04,1.22
233323.188714,-0.084,0.131,1.016,-5.46,1.74,2.08
233323.199237,-0.087,0.126,1.011,-4.73,1.16,2.69
233323.210243,-0.094,0.129,1.009,-4.09,0.76,2.78
233323.219772,-0.096,0.147,1.02,-3.11,0.37,3.14
233323.230415,-0.101,0.166,1.024,-0.89,-0.4,3.88
233323.243464,-0.1,0.167,1.03,2.35,-0.89,5.13
233323.249567,-0.101,0.151,1.036,5.01,-1.37,6.16
233323.258469,-0.1,0.135,1.032,6.2,-2.04,6.56
233323.268784,-0.095,0.113,1.025,5.98,-2.23,6.59
233323.279132,-0.101,0.101,1.016,3.91,-2.44,6.04
233323.289451,-0.1,0.107,1.016,1.13,-2.5,5.58
233323.299984,-0.1,0.105,1.02,-0.61,-2.38,5.46
233323.309875,-0.102,0.125,1.028,-2.01,-2.35,5.22
233323.323532,-0.097,0.164,1.034,-1.92,-2.41,5.74
233323.329301,-0.099,0.195,1.037,1.56,-2.72,6.84
233323.406282,-0.105,0.19,1.035,7.75,-3.66,9.03
233323.408440,-0.111,0.154,1.039,12.82,-4.88,10.83
233323.411310,-0.111,0.126,1.045,14.1,-6.74,11.84
233323.413344,-0.114,0.117,1.044,12.82,-9.31,12.91
233323.415795,-0.12,0.132,1.029,10.16,-11.87,14.86
233323.418743,-0.132,0.175,1.025,8.24,-15.32,18.46
233323.421495,-0.142,0.242,1.028,8.91,-19.81,23.8
233323.424036,-0.15,0.307,1.022,13.46,-26.03,32.32
233323.426113,-0.164,0.334,1.015,22.8,-33.51,42.51
233323.429369,-0.196,0.341,0.996,34.88,-42.76,52.92
233323.439668,-0.212,0.35,0.943,47.79,-53.01,64.64
233323.450654,-0.168,0.347,0.975,63.66,-61.1,78.59
233323.463240,-0.166,0.242,1.035,84.29,-69.46,90.0
233323.469364,-0.217,0.159,1.044,99.12,-80.69,94.39
233323.479704,-0.229,0.154,1.052,104.59,-92.2,96.62
233323.493788,-0.235,0.138,1.044,106.91,-103.12,98.97
233323.499744,-0.258,0.101,1.012,103.76,-113.47,101.78
233323.510909,-0.269,0.066,0.98,90.64,-121.98,105.99
233323.524060,-0.247,0.028,0.986,69.89,-127.23,110.93
233323.529367,-0.248,0.045,0.993,44.74,-131.9,114.6
233323.540256,-0.277,0.128,0.98,20.81,-136.88,118.47
233323.550243,-0.298,0.206,0.94,4.58,-140.54,122.59
233323.563707,-0.285,0.267,0.877,-1.19,-140.69,123.51
233323.570900,-0.227,0.289,0.808,3.94,-137.42,122.04
233323.580235,-0.137,0.273,0.712,14.31,-131.84,118.5
233323.593173,0.02,0.273,0.69,22.22,-123.66,114.44
233323.599422,0.165,0.277,0.78,26.98,-116.64,111.55
233323.610066,0.178,0.28,0.88,26.76,-113.59,109.26
233323.623401,0.121,0.301,0.938,21.12,-113.47,106.72
233323.629862,0.108,0.346,0.945,15.53,-112.64,103.37
233323.641418,0.141,0.373,0.935,14.31,-110.57,100.8
233323.653180,0.182,0.364,0.901,18.37,-108.52,98.06
233323.659847,0.246,0.363,0.852,25.36,-105.62,93.84
233323.671094,0.299,0.388,0.796,33.2,-101.78,88.44
233323.680615,0.337,0.392,0.765,41.72,-97.78,83.77
233323.693855,0.373,0.365,0.778,48.89,-94.61,79.62
233323.700042,0.374,0.341,0.783,50.87,-94.21,75.75
233323.711023,0.37,0.327,0.779,49.78,-95.16,72.6
233323.720606,0.389,0.298,0.766,50.17,-96.22,68.03
233323.734500,0.409,0.3,0.701,49.71,-97.48,61.98
233323.741031,0.504,0.293,0.667,47.21,-95.61,58.84
233323.750501,0.566,0.284,0.669,43.64,-93.2,56.73
233323.760293,0.545,0.308,0.652,36.41,-91.07,55.82
233323.774404,0.531,0.329,0.663,27.56,-86.4,56.7
233323.779550,0.504,0.355,0.66,22.0,-81.18,57.56
233323.789668,0.493,0.354,0.64,21.52,-74.65,57.86
233323.800970,0.516,0.298,0.621,25.39,-66.87,54.51
233323.814744,0.568,0.214,0.602,29.85,-59.51,46.88
233323.819968,0.689,0.118,0.594,31.98,-52.49,37.35
233323.829735,0.806,0.055,0.587,30.09,-47.88,27.31
233323.840773,0.835,0.072,0.582,22.92,-46.21,19.59
233323.853393,0.832,0.139,0.621,14.98,-44.1,15.96
233323.859878,0.793,0.217,0.65,8.51,-43.12,15.38
233323.869468,0.758,0.279,0.648,5.98,-40.93,14.95
233323.879944,0.758,0.325,0.635,11.17,-35.98,12.39
233323.893814,0.776,0.348,0.61,23.26,-29.21,7.57
233323.900386,0.829,0.291,0.608,37.84,-21.24,1.5
233323.909415,0.887,0.16,0.582,49.84,-14.13,-7.29
233323.920958,0.921,0.061,0.565,53.62,-8.3,-18.1
233323.930773,0.911,0.068,0.579,47.73,-5.04,-25.7
233323.943254,0.873,0.133,0.603,36.71,-3.94,-27.25
233323.950004,0.86,0.191,0.609,23.29,-1.98,-26.8
233323.959126,0.874,0.232,0.609,19.84,-0.64,-28.41
233323.969704,0.867,0.29,0.605,20.29,2.84,-30.61
233323.980483,0.878,0.29,0.628,26.43,7.75,-36.77
233323.994926,0.917,0.213,0.669,31.8,10.28,-44.01
233324.000284,0.939,0.152,0.682,30.34,9.64,-44.98
233324.010261,0.956,0.162,0.658,26.0,8.45,-41.93
233324.019968,0.968,0.184,0.64,23.16,7.48,-41.26
233324.033659,0.971,0.217,0.622,22.19,7.84,-42.02
233324.040529,0.965,0.27,0.616,24.02,9.7,-42.79
233324.049399,0.96,0.328,0.631,28.23,12.05,-40.74
233324.060145,0.961,0.375,0.664,34.94,13.95,-33.97
233324.074503,0.951,0.4,0.675,44.83,15.9,-25.18
233324.080866,0.949,0.36,0.683,56.12,18.98,-16.24
233324.089084,0.966,0.256,0.692,64.49,22.83,-8.48
233324.099926,0.968,0.182,0.685,64.27,24.69,-2.56
233324.110046,0.946,0.14,0.685,56.43,24.93,3.78
233324.124816,0.93,0.102,0.675,43.79,24.11,12.88
233324.129551,0.911,0.086,0.656,26.03,21.76,21.97
233324.139794,0.896,0.133,0.654,8.18,19.81,25.97
233324.150153,0.88,0.19,0.643,-5.43,17.52,29.54
233324.165130,0.864,0.224,0.63,-12.73,14.74,34.27
233324.169806,0.831,0.283,0.621,-15.35,11.93,37.35
233324.180567,0.798,0.342,0.616,-12.6,10.07,41.02
233324.190024,0.765,0.366,0.617,-6.07,9.64,44.95
233324.200811,0.733,0.371,0.614,0.55,9.83,48.01
233324.215142,0.713,0.348,0.606,8.36,10.9,49.65
233324.222309,0.693,0.307,0.594,13.73,11.93,49.29
233324.229748,0.681,0.278,0.567,14.16,12.67,46.63
233324.239950,0.662,0.269,0.546,11.32,13.37,42.15
233324.253193,0.65,0.275,0.537,8.45,14.16,37.32
233324.259732,0.644,0.28,0.532,6.74,14.77,32.23
233324.269191,0.638,0.29,0.535,5.4,15.11,26.67
233324.279854,0.638,0.304,0.548,4.91,15.44,21.15
233324.290133,0.644,0.319,0.566,5.71,15.75,15.72
233324.305441,0.652,0.342,0.58,6.93,15.32,10.74
233324.309362,0.663,0.366,0.594,9.09,14.28,6.74
233324.320784,0.674,0.378,0.601,12.76,13.18,3.88
233324.329751,0.695,0.373,0.608,17.24,11.87,1.13
233324.340138,0.713,0.366,0.62,20.97,10.01,-1.56
233324.354786,0.728,0.363,0.631,22.49,7.32,-3.27
233324.360544,0.748,0.352,0.64,22.43,4.46,-4.73
233324.370802,0.749,0.337,0.644,21.12,1.68,-7.05
233324.379799,0.746,0.326,0.641,18.8,-1.16,-8.97
233324.390703,0.744,0.32,0.636,15.56,-3.69,-9.86
233324.404480,0.743,0.327,0.633,12.09,-5.98,-10.71
233324.409300,0.738,0.327,0.626,10.04,-8.12,-10.56
233324.418814,0.727,0.332,0.617,8.39,-9.77,-9.55
233324.429189,0.72,0.343,0.612,7.23,-10.16,-9.09
233324.439612,0.714,0.337,0.598,7.69,-10.04,-8.27
233324.449871,0.71,0.321,0.589,7.42,-9.4,-7.39
233324.464163,0.705,0.311,0.574,6.87,-8.18,-6.78
233324.469462,0.697,0.309,0.571,5.22,-6.78,-5.95
233324.478805,0.69,0.315,0.576,3.66,-5.31,-5.22
233324.489112,0.687,0.32,0.588,2.44,-3.75,-4.46
233324.499629,0.68,0.332,0.608,0.37,-2.53,-4.03
233324.510872,0.673,0.337,0.612,-1.31,-1.46,-3.57
233324.521226,0.67,0.332,0.615,-1.83,-0.03,-3.42
233324.530279,0.67,0.343,0.627,-3.23,0.7,-3.23
233324.544610,0.671,0.359,0.632,-5.43,1.07,-2.84
233324.550022,0.669,0.37,0.626,-6.65,1.31,-2.75
233324.558970,0.674,0.367,0.615,-6.56,1.95,-2.75
233324.570381,0.678,0.363,0.617,-6.26,2.38,-2.44
233324.579590,0.681,0.372,0.641,-6.84,1.86,-2.2
233324.591234,0.68,0.388,0.659,-8.24,0.43,-1.89
233324.600003,0.68,0.397,0.675,-8.82,-0.82,-2.32
233324.610708,0.678,0.401,0.675,-8.51,-2.29,-3.17
233324.624764,0.671,0.404,0.673,-7.66,-3.66,-4.09
233324.629666,0.662,0.404,0.661,-6.71,-5.1,-4.7
233324.638937,0.659,0.397,0.648,-4.82,-5.86,-5.31
233324.649245,0.658,0.388,0.643,-2.62,-6.47,-5.68
233324.659760,0.658,0.379,0.643,-0.76,-6.84,-6.38
233324.669952,0.66,0.368,0.638,1.4,-6.44,-7.35
233324.680149,0.663,0.35,0.636,3.05,-5.86,-8.15
233324.694692,0.661,0.348,0.638,3.36,-5.4,-8.94
233324.699543,0.66,0.355,0.644,3.57,-4.73,-8.67
233324.708825,0.658,0.363,0.66,4.03,-4.18,-7.51
233324.719829,0.652,0.373,0.678,4.67,-3.69,-6.16
233324.729256,0.649,0.378,0.689,5.95,-2.93,-4.09
233324.740887,0.647,0.372,0.687,7.23,-2.23,-1.46
233324.750807,0.64,0.364,0.682,7.78,-1.56,1.22
233324.760338,0.637,0.351,0.68,7.63,-0.82,4.36
233324.775049,0.635,0.345,0.676,7.6,-0.09,7.51
233324.779286,0.637,0.33,0.68,6.93,0.0,10.68
233324.790996,0.626,0.336,0.691,5.52,-0.37,13.64
233324.800626,0.623,0.327,0.692,4.61,-0.85,16.66
233324.810983,0.62,0.321,0.687,3.78,-1.5,18.83
233324.820884,0.619,0.314,0.68,3.3,-2.01,20.72
233324.833915,0.617,0.307,0.671,2.04,-2.75,22.61
233324.840574,0.621,0.299,0.668,0.61,-2.99,23.71
233324.850201,0.633,0.29,0.658,-0.55,-2.99,24.02
233324.860512,0.649,0.282,0.641,-2.81,-3.2,23.38
233324.871201,0.665,0.286,0.631,-4.73,-2.56,22.03
233324.883191,0.687,0.29,0.634,-5.8,-1.71,20.26
233324.890261,0.705,0.3,0.652,-6.62,-1.07,17.43
233324.899434,0.718,0.321,0.674,-7.35,-0.21,14.16
233324.909995,0.735,0.344,0.693,-7.78,0.73,10.68
233324.919988,0.738,0.379,0.712,-8.51,1.31,7.05
233324.929802,0.731,0.41,0.717,-7.93,2.2,3.91
233324.940352,0.709,0.431,0.72,-5.37,2.66,1.56
233324.954749,0.676,0.448,0.716,-3.05,2.44,0.73
233324.960839,0.651,0.46,0.704,-1.01,1.98,1.28
233324.969653,0.636,0.441,0.672,3.23,2.04,2.47
233324.979784,0.626,0.405,0.64,7.6,2.17,3.51
233324.989420,0.618,0.37,0.622,10.41,2.26,4.64
233325.000708,0.618,0.339,0.611,12.15,2.14,6.04
233325.010237,0.621,0.315,0.6,12.73,2.2,7.35
233325.023981,0.638,0.292,0.587,11.41,2.99,7.66
233325.030333,0.658,0.289,0.585,8.36,3.78,6.96
233325.039392,0.67,0.292,0.585,5.46,4.58,5.77
233325.049571,0.676,0.289,0.581,3.78,6.01,3.88
233325.059520,0.681,0.293,0.581,2.29,7.66,1.83
233325.069816,0.688,0.306,0.578,1.37,8.91,0.06
233325.080270,0.695,0.317,0.577,1.74,10.28,-1.34
233325.094841,0.704,0.335,0.586,2.47,11.35,-2.47
233325.099539,0.715,0.355,0.604,3.85,12.3,-3.23
233325.109453,0.727,0.358,0.62,6.56,13.18,-3.88
233325.120813,0.736,0.355,0.628,8.24,13.76,-4.55
233325.130054,0.736,0.361,0.635,7.78,13.61,-4.7
233325.145162,0.73,0.367,0.636,6.32,13.03,-4.15
233325.149454,0.725,0.371,0.631,4.61,12.21,-3.27
233325.158995,0.721,0.381,0.621,2.72,10.9,-1.86
233325.169064,0.716,0.389,0.621,1.77,9.37,0.15
233325.179763,0.712,0.388,0.62,2.59,7.93,2.38
233325.189646,0.702,0.376,0.613,3.75,6.23,4.24
233325.200300,0.695,0.37,0.609,3.66,4.46,5.8
233325.213257,0.689,0.369,0.608,2.59,2.75,6.99
233325.218905,0.686,0.365,0.604,1.53,1.25,7.81
233325.229084,0.682,0.357,0.599,0.61,-0.09,7.75
233325.239074,0.675,0.357,0.603,-0.03,-1.4,7.08
233325.249224,0.666,0.361,0.608,-1.34,-2.9,6.65
233325.259712,0.661,0.37,0.619,-3.3,-4.39,5.89
233325.269894,0.661,0.38,0.626,-5.31,-5.83,4.82
233325.280726,0.666,0.385,0.628,-7.45,-7.39,4.0
233325.293970,0.669,0.391,0.626,-9.74,-9.03,2.99
233325.299277,0.667,0.395,0.63,-11.05,-10.62,1.92
233325.309322,0.667,0.397,0.632,-11.54,-12.27,1.01
233325.319835,0.665,0.407,0.64,-12.24,-13.95,-0.34
233325.330502,0.663,0.414,0.638,-12.42,-15.26,-1.34
233325.343876,0.663,0.414,0.629,-11.6,-15.99,-2.69
233325.350866,0.669,0.409,0.61,-10.04,-15.84,-4.27
233325.359306,0.678,0.396,0.601,-7.57,-15.17,-5.95
233325.369893,0.679,0.38,0.596,-5.71,-14.53,-7.54
233325.382065,0.683,0.369,0.602,-4.7,-13.86,-8.73
233325.394487,0.691,0.362,0.609,-4.58,-13.52,-9.77
233325.400078,0.698,0.358,0.609,-4.73,-13.09,-10.86
233325.409354,0.701,0.358,0.603,-5.04,-12.6,-11.66
233325.420277,0.704,0.362,0.596,-5.58,-11.84,-12.05
233325.432117,0.701,0.364,0.583,-5.07,-10.56,-12.42
233325.443527,0.698,0.362,0.576,-4.18,-9.13,-12.51
233325.449335,0.691,0.363,0.575,-3.08,-7.54,-12.24
233325.460593,0.688,0.363,0.576,-1.77,-6.04,-11.05
233325.469954,0.686,0.366,0.585,-0.4,-4.82,-9.8
233325.479571,0.686,0.362,0.589,0.43,-3.69,-8.27
233325.491202,0.692,0.348,0.578,0.64,-2.41,-7.08
233325.500499,0.697,0.338,0.578,-0.52,-1.16,-6.59
233325.513929,0.699,0.332,0.58,-2.08,-0.4,-6.04
233325.520756,0.695,0.335,0.586,-3.72,-0.09,-5.4
233325.528874,0.699,0.349,0.599,-5.8,-0.49,-3.81
233325.539765,0.705,0.357,0.607,-5.92,-1.1,-3.75
233325.549384,0.711,0.357,0.611,-6.56,-1.65,-4.06
233325.559769,0.717,0.361,0.617,-7.35,-2.26,-4.79
233325.571255,0.724,0.37,0.625,-7.29,-2.66,-5.49
233325.580597,0.737,0.368,0.629,-7.57,-2.9,-6.96
233325.594719,0.735,0.375,0.63,-8.58,-3.36,-8.88
233325.599808,0.732,0.38,0.636,-8.94,-3.6,-10.83
233325.609587,0.714,0.383,0.636,-8.82,-3.94,-12.79
233325.620864,0.692,0.39,0.627,-8.45,-4.27,-14.56
233325.631390,0.669,0.394,0.614,-7.6,-4.36,-15.5
233325.640821,0.643,0.394,0.603,-6.65,-4.82,-15.41
233325.653562,0.625,0.394,0.589,-5.83,-5.25,-14.34
233325.659948,0.619,0.393,0.58,-5.16,-5.52,-12.85
233325.669111,0.616,0.391,0.567,-5.46,-5.71,-10.99
233325.679655,0.619,0.383,0.556,-7.17,-5.62,-8.97
233325.689882,0.626,0.374,0.552,-10.28,-5.62,-7.17
233325.700300,0.633,0.373,0.557,-15.11,-5.92,-5.8
233325.713579,0.641,0.378,0.566,-19.84,-6.16,-4.94
233325.719462,0.651,0.385,0.569,-23.35,-6.07,-4.67
233325.729366,0.662,0.395,0.57,-25.3,-5.68,-4.79
233325.740913,0.677,0.402,0.575,-25.39,-5.04,-4.88
233325.754234,0.698,0.396,0.58,-22.8,-4.0,-5.43
233325.764835,0.724,0.383,0.592,-18.49,-2.38,-6.59
233325.770459,0.75,0.369,0.613,-13.76,-0.85,-8.12
233325.779035,0.765,0.361,0.628,-10.41,0.09,-10.41
233325.789699,0.767,0.361,0.638,-8.97,0.89,-13.09
233325.801066,0.771,0.362,0.651,-8.21,1.56,-15.29
233325.810308,0.772,0.352,0.656,-6.84,1.59,-16.97
233325.825281,0.77,0.336,0.655,-5.62,0.92,-18.34
233325.830890,0.764,0.324,0.656,-4.85,-0.15,-18.89
233325.839162,0.757,0.318,0.66,-4.88,-1.83,-18.52
233325.849604,0.753,0.317,0.666,-4.91,-3.81,-17.49
233325.859954,0.75,0.313,0.667,-4.03,-5.71,-15.96
233325.870042,0.741,0.305,0.666,-3.33,-7.42,-14.07
233325.883595,0.734,0.306,0.66,-2.99,-9.06,-11.51
233325.889321,0.732,0.3,0.648,-1.8,-10.35,-8.94
233325.899072,0.73,0.285,0.633,-0.79,-11.08,-7.14
233325.909676,0.723,0.269,0.615,-0.73,-11.29,-6.01
233325.921369,0.719,0.253,0.607,-1.65,-10.9,-5.19
233325.930332,0.714,0.25,0.6,-4.18,-10.74,-5.01
233325.943549,0.714,0.251,0.592,-7.42,-9.92,-5.46
233325.950044,0.716,0.264,0.603,-10.83,-9.06,-6.04
233325.959000,0.714,0.292,0.624,-14.59,-8.79,-6.26
233325.969676,0.705,0.325,0.639,-17.03,-8.61,-5.86
233325.981082,0.703,0.356,0.636,-17.52,-7.93,-4.82
233325.990791,0.706,0.377,0.628,-15.32,-6.74,-3.69
233326.004030,0.702,0.397,0.632,-11.66,-5.58,-2.53
233326.009341,0.69,0.409,0.634,-6.74,-4.52,-1.04
233326.019517,0.679,0.407,0.625,-1.71,-3.02,0.73
233326.029394,0.672,0.403,0.623,2.17,-1.46,2.75
233326.039855,0.659,0.399,0.627,5.1,-0.37,4.88
233326.049776,0.65,0.384,0.63,6.56,0.37,7.69
233326.060127,0.646,0.367,0.62,6.99,1.13,10.65
233326.073679,0.648,0.343,0.612,6.38,1.77,13.28
233326.079307,0.651,0.323,0.622,4.46,1.77,15.38
233326.089176,0.651,0.314,0.635,1.62,1.13,17.43
233326.099529,0.658,0.315,0.651,-1.16,0.52,19.17
233326.109839,0.673,0.317,0.667,-2.53,-0.09,20.33
233326.120214,0.692,0.317,0.676,-1.95,-0.67,20.94
233326.134061,0.706,0.309,0.677,-0.06,-0.73,20.69
233326.140696,0.715,0.305,0.696,1.31,-0.98,20.17
233326.149175,0.718,0.313,0.719,0.15,-1.71,19.81
233326.160442,0.723,0.317,0.735,-1.86,-2.53,19.32
233326.171185,0.714,0.318,0.74,-4.15,-3.63,18.19
233326.183488,0.694,0.323,0.731,-6.71,-4.79,17.21
233326.190393,0.677,0.334,0.722,-8.67,-5.65,16.79
233326.198853,0.664,0.341,0.725,-9.95,-6.59,16.97
233326.209742,0.65,0.346,0.734,-10.5,-8.12,17.33
233326.220825,0.638,0.347,0.723,-10.5,-9.31,17.12
233326.231334,0.631,0.348,0.706,-10.35,-9.74,16.57
233326.244583,0.628,0.341,0.688,-9.98,-10.01,15.93
233326.249741,0.63,0.319,0.662,-9.06,-9.55,14.74
233326.260130,0.634,0.302,0.636,-9.31,-8.61,12.85
233326.271451,0.637,0.29,0.611,-10.07,-7.23,10.59
233326.281803,0.638,0.283,0.591,-10.8,-5.52,7.75
233326.293669,0.646,0.286,0.574,-11.57,-3.42,5.1
233326.299829,0.655,0.288,0.564,-11.23,-1.53,2.69
233326.308988,0.661,0.286,0.566,-9.89,0.31,0.4
233326.319488,0.668,0.287,0.568,-8.82,1.62,-2.17
233326.329781,0.683,0.292,0.575,-8.36,2.81,-4.46
233326.340201,0.698,0.297,0.583,-8.58,3.36,-5.71
233326.350230,0.708,0.313,0.586,-9.64,3.51,-6.96
233326.364395,0.718,0.335,0.584,-10.74,3.51,-7.78
233326.370820,0.728,0.358,0.58,-10.5,3.97,-8.12
233326.379184,0.74,0.364,0.581,-9.55,4.24,-7.39
233326.389688,0.737,0.384,0.589,-8.94,3.72,-7.39
233326.399920,0.745,0.408,0.597,-7.39,3.3,-6.16
233326.409988,0.75,0.409,0.592,-3.14,2.78,-3.33
233326.420328,0.749,0.394,0.587,1.34,2.14,-0.4
233326.433999,0.75,0.383,0.585,4.18,1.89,2.04
233326.439597,0.754,0.371,0.588,7.39,1.98,3.85
233326.449734,0.758,0.338,0.579,11.47,2.2,5.37
233326.459468,0.749,0.316,0.58,13.95,2.62,5.68
233326.469854,0.74,0.309,0.582,14.37,3.08,5.71
233326.480430,0.736,0.301,0.579,14.74,4.06,5.49
233326.493735,0.732,0.296,0.584,15.08,5.22,4.94
233326.499569,0.724,0.281,0.58,15.02,6.5,5.1
233326.508996,0.714,0.279,0.59,13.37,8.36,4.46
233326.519524,0.712,0.287,0.619,11.2,9.49,3.81
233326.529799,0.707,0.306,0.65,7.81,9.4,4.09
233326.540077,0.708,0.33,0.672,3.66,9.0,4.52
233326.551569,0.704,0.355,0.682,1.8,9.03,5.04
233326.563615,0.707,0.363,0.68,2.41,9.0,6.9
233326.569444,0.717,0.357,0.668,4.94,9.86,9.28
233326.579063,0.714,0.34,0.645,9.55,11.14,11.41
233326.590027,0.709,0.311,0.625,13.73,13.06,13.0
233326.600238,0.701,0.289,0.624,17.09,15.29,13.55
233326.613943,0.685,0.272,0.617,19.14,18.01,14.19
233326.619822,0.679,0.254,0.614,19.59,21.55,14.01
233326.629843,0.674,0.247,0.607,18.86,25.09,13.03
233326.640343,0.663,0.249,0.601,17.85,28.99,12.15
233326.654030,0.66,0.243,0.587,16.72,32.59,11.57
233326.659808,0.655,0.245,0.581,15.66,36.04,10.01
233326.670111,0.65,0.25,0.591,14.8,38.76,9.4
233326.680343,0.642,0.267,0.623,12.73,40.83,9.92
233326.693659,0.647,0.275,0.651,9.89,42.27,10.32
233326.699507,0.654,0.269,0.667,6.93,42.91,9.67
233326.709146,0.656,0.264,0.666,2.38,43.28,8.48
233326.719555,0.657,0.275,0.671,-2.72,43.03,7.45
233326.730005,0.653,0.291,0.676,-6.74,42.05,7.02
233326.740293,0.656,0.282,0.653,-7.57,41.47,6.38
233326.753481,0.651,0.258,0.619,-5.46,41.78,5.19
233326.759352,0.652,0.241,0.589,-2.78,42.39,3.85
233326.769169,0.661,0.228,0.562,-0.4,43.67,2.35
233326.779670,0.676,0.2,0.543,2.47,45.81,0.12
233326.790036,0.689,0.176,0.556,3.69,47.58,-2.75
233326.800331,0.718,0.167,0.566,3.27,48.25,-5.92
233326.813656,0.731,0.166,0.616,2.26,48.16,-8.97
233326.819706,0.744,0.192,0.699,-2.11,45.41,-10.56
233326.829456,0.788,0.262,0.751,-8.27,39.86,-10.65
233326.839861,0.828,0.3,0.774,-9.16,32.84,-8.55
233326.850518,0.845,0.317,0.764,-7.23,24.38,-4.76
233326.863763,0.86,0.31,0.75,-3.66,16.05,0.37
233326.869406,0.862,0.27,0.737,0.43,7.87,5.37
233326.879111,0.877,0.181,0.691,3.72,0.49,10.1
233326.889378,0.912,0.065,0.626,4.79,-5.13,14.28
233326.901119,0.937,-0.065,0.553,3.97,-9.16,16.24
233326.910303,0.951,-0.195,0.476,1.16,-11.02,16.66
233326.923915,0.96,-0.31,0.415,-5.46,-10.74,15.38
233326.930943,0.968,-0.409,0.394,-15.66,-8.51,11.99
233326.939307,0.964,-0.495,0.387,-28.11,-4.73,6.9
233326.949927,0.954,-0.536,0.392,-43.86,0.18,1.53
233326.960332,0.958,-0.533,0.427,-60.34,6.5,-3.54
233326.974009,0.97,-0.487,0.461,-74.04,13.12,-8.24
233326.979829,0.983,-0.383,0.521,-83.8,20.17,-12.76
233326.989772,1.007,-0.231,0.597,-87.89,26.95,-17.0
233327.000402,1.053,-0.081,0.679,-82.95,33.3,-20.17
233327.013398,1.093,0.04,0.758,-67.72,39.19,-22.61
233327.019611,1.128,0.145,0.829,-46.85,43.09,-23.59
233327.029606,1.147,0.224,0.891,-24.81,44.89,-23.96
233327.039950,1.126,0.251,0.932,-3.57,45.23,-25.73
233327.053107,1.116,0.188,0.957,12.79,45.17,-29.63
233327.060277,1.092,0.084,0.975,18.01,44.34,-36.5
233327.069734,1.064,0.03,0.995,11.51,43.03,-42.6
233327.080950,1.046,0.003,1.025,-1.43,42.09,-45.26
233327.093306,1.005,-0.018,1.039,-20.2,40.68,-47.55
233327.099897,0.958,-0.003,1.038,-64.15,38.97,-57.68
233327.109477,0.918,0.03,1.022,-79.13,39.77,-68.18
233327.119980,0.867,0.04,0.988,-88.81,43.49,-80.81
233327.133374,0.796,0.074,0.958,-93.2,50.69,-92.04
233327.139655,0.725,0.111,0.922,-92.29,61.8,-103.82
233327.149610,0.654,0.126,0.885,-87.8,75.17,-114.29
233327.160327,0.498,0.383,0.892,-77.09,89.45,-118.99
233327.173664,0.421,0.375,0.877,-54.87,103.89,-122.41
233327.180417,0.283,0.193,0.828,-35.95,118.2,-132.15
233327.190755,0.092,0.02,0.798,-35.07,132.57,-147.13
233327.203271,-0.164,-0.003,0.793,-49.78,145.82,-163.73
233327.209696,-0.388,0.076,0.767,-65.16,159.25,-180.82
233327.220128,-0.584,0.234,0.745,-72.63,173.92,-194.89
233327.233678,-0.818,0.428,0.699,-66.65,190.44,-206.55
233327.239543,-1.075,0.56,0.707,-47.94,210.36,-217.02
233327.250562,-1.317,0.56,0.711,-22.64,230.75,-227.52
233327.263333,-1.432,0.507,0.766,-1.59,248.15,-238.75
233327.269666,-1.483,0.38,0.82,14.47,257.7,-249.43
233327.280139,-1.428,0.222,0.867,19.23,257.21,-258.52
233327.293981,-1.384,0.097,0.978,7.51,244.42,-260.26
233327.300191,-1.279,0.247,0.99,-14.98,221.2,-258.28
233327.310136,-1.011,0.583,1.04,-30.46,190.92,-242.41
233327.323927,-0.692,0.804,1.262,-30.76,155.8,-212.5
233327.329614,-0.318,0.947,1.507,-27.07,111.97,-172.67
233327.339872,-0.082,1.226,1.563,-27.41,59.85,-120.18
233327.350589,0.032,1.256,1.455,-17.67,12.39,-55.7
233327.363876,-0.029,0.908,1.223,3.51,-24.63,2.69
233327.369662,-0.184,0.351,1.014,26.34,-47.4,40.07
233327.379558,-0.349,-0.1,0.846,31.62,-59.91,53.77
233327.390085,-0.448,-0.304,0.689,11.14,-65.8,53.53
233327.403684,-0.511,-0.317,0.565,-16.08,-62.56,44.8
233327.409584,-0.511,-0.265,0.542,-35.19,-50.17,33.51
233327.419615,-0.464,-0.139,0.575,-45.66,-33.75,21.85
233327.431699,-0.397,-0.005,0.654,-43.86,-17.82,9.49
233327.441386,-0.324,0.05,0.722,-33.6,-4.12,-2.78
233327.454724,-0.265,0.081,0.793,-24.08,5.8,-10.83
233327.461873,-0.198,0.119,0.884,-17.43,10.71,-14.28
233327.469827,-0.166,0.146,0.948,-13.37,11.66,-15.44
233327.480560,-0.12,0.143,0.97,-9.52,10.74,-12.7
233327.493455,-0.082,0.11,0.987,-7.69,8.0,-8.45
233327.499622,-0.09,0.091,1.016,-10.8,3.6,-4.06
233327.510770,-0.105,0.096,1.035,-18.52,-0.82,0.64
