t_monotonic,ax,ay,az,gx,gy,gz
233222.404704,0.082,1.084,0.167,-2.9,0.64,6.9
233222.414619,0.078,1.08,0.168,-2.87,0.92,6.47
233222.425029,0.068,1.08,0.168,-2.93,1.25,5.89
233222.435091,0.061,1.076,0.177,-2.59,1.92,5.46
233222.448679,0.055,1.069,0.181,-1.25,2.72,5.25
233222.454062,0.049,1.059,0.185,0.52,3.66,5.43
233222.463901,0.046,1.047,0.184,3.23,4.64,5.92
233222.474059,0.047,1.03,0.185,6.74,5.68,6.9
233222.484532,0.052,1.002,0.184,10.62,6.81,8.06
233222.494869,0.06,0.968,0.178,13.64,8.15,8.85
233222.505336,0.068,0.94,0.17,14.83,9.46,9.19
233222.519858,0.073,0.92,0.167,14.34,10.83,9.31
233222.525877,0.072,0.909,0.16,12.51,12.15,9.13
233222.534418,0.067,0.905,0.156,10.16,13.49,9.09
233222.544859,0.063,0.907,0.157,7.63,14.8,9.13
233222.555741,0.061,0.915,0.161,4.91,16.05,9.19
233222.568631,0.061,0.926,0.17,2.75,16.79,9.34
233222.574754,0.059,0.938,0.18,1.34,16.91,9.64
233222.584129,0.059,0.963,0.193,1.31,16.75,9.83
233222.595831,0.057,0.992,0.205,2.84,15.9,10.59
233222.605195,0.058,1.01,0.221,6.2,14.16,11.63
233222.618407,0.064,1.018,0.226,11.38,11.72,12.57
233222.625395,0.073,1.011,0.222,16.75,8.67,13.31
233222.634394,0.082,0.994,0.211,20.87,5.46,13.46
233222.646124,0.085,0.981,0.202,22.77,2.26,13.4
233222.656501,0.087,0.971,0.196,23.26,-1.19,13.58
233222.670026,0.094,0.96,0.189,22.31,-4.52,13.31
233222.675676,0.101,0.958,0.178,19.29,-7.66,12.79
233222.685324,0.107,0.967,0.169,14.8,-10.83,11.9
233222.696681,0.111,0.979,0.164,10.22,-13.76,10.65
233222.709349,0.11,0.99,0.166,6.01,-16.39,9.0
233222.717164,0.11,1.009,0.179,2.5,-18.74,7.14
233222.724593,0.114,1.025,0.193,1.01,-20.84,5.83
233222.734718,0.118,1.036,0.206,1.31,-22.68,5.07
233222.744965,0.12,1.039,0.214,2.84,-24.54,4.67
233222.755618,0.12,1.045,0.221,4.73,-26.15,4.55
233222.769048,0.121,1.046,0.22,6.16,-27.77,4.97
233222.774959,0.123,1.049,0.216,7.26,-29.3,5.52
233222.784211,0.127,1.044,0.215,7.42,-30.55,6.26
233222.794493,0.132,1.028,0.215,7.48,-32.26,7.14
233222.804827,0.14,1.007,0.217,7.57,-33.6,8.21
233222.815428,0.151,0.985,0.22,7.39,-34.7,9.25
233222.829359,0.159,0.963,0.221,6.74,-35.68,10.25
233222.834774,0.169,0.939,0.222,5.77,-36.38,10.83
233222.844517,0.178,0.911,0.217,4.55,-37.08,11.17
233222.855126,0.184,0.896,0.21,3.6,-37.69,10.9
233222.865871,0.187,0.891,0.198,3.3,-37.84,10.56
233222.879348,0.19,0.886,0.188,2.81,-37.9,9.86
233222.884836,0.186,0.889,0.172,1.65,-37.97,8.55
233222.894675,0.178,0.897,0.159,-0.67,-37.87,7.08
233222.905300,0.168,0.9,0.147,-4.33,-37.81,5.68
233222.916658,0.156,0.9,0.133,-8.85,-37.63,3.97
233222.929793,0.146,0.908,0.126,-17.94,-36.5,1.98
233222.935197,0.139,0.921,0.124,-20.39,-35.89,1.92
233222.944484,0.134,0.931,0.128,-21.0,-35.43,2.01
233222.954829,0.137,0.935,0.129,-20.54,-35.16,1.92
233222.965656,0.136,0.937,0.128,-19.2,-35.0,1.59
233222.979258,0.138,0.94,0.121,-17.73,-34.58,0.58
233222.985376,0.143,0.945,0.104,-15.2,-34.15,-0.85
233222.994856,0.147,0.944,0.098,-12.02,-33.91,-2.2
233223.004900,0.149,0.941,0.089,-9.28,-33.3,-3.81
233223.015525,0.152,0.935,0.086,-6.96,-32.56,-5.46
233223.029678,0.153,0.926,0.088,-5.49,-31.92,-7.05
233223.035191,0.162,0.91,0.094,-5.13,-31.34,-8.64
233223.045474,0.167,0.901,0.098,-5.86,-30.73,-10.07
233223.054773,0.176,0.902,0.102,-7.54,-30.0,-11.2
233223.065840,0.183,0.906,0.108,-9.16,-29.21,-12.02
233223.078799,0.189,0.912,0.114,-9.4,-28.44,-12.3
233223.084964,0.195,0.916,0.123,-8.48,-27.68,-12.39
233223.094867,0.199,0.918,0.133,-7.29,-26.86,-12.45
233223.104782,0.203,0.924,0.14,-6.07,-25.94,-12.51
233223.116155,0.203,0.93,0.144,-5.04,-25.27,-12.24
233223.129684,0.199,0.934,0.148,-4.12,-24.51,-11.47
233223.135236,0.195,0.932,0.149,-2.99,-23.35,-10.19
233223.145722,0.192,0.929,0.15,-1.71,-21.94,-8.51
233223.156006,0.192,0.928,0.15,-0.37,-20.51,-6.35
233223.166331,0.192,0.925,0.155,0.85,-18.86,-4.03
233223.178587,0.194,0.922,0.162,1.68,-17.52,-2.23
233223.185229,0.201,0.921,0.175,2.23,-16.57,-1.16
233223.193964,0.206,0.923,0.185,3.02,-16.21,-0.67
233223.205910,0.212,0.925,0.188,4.33,-16.11,-0.67
233223.216474,0.221,0.93,0.185,6.1,-16.21,-1.1
233223.225709,0.233,0.936,0.177,8.51,-16.33,-1.89
233223.238435,0.245,0.941,0.165,11.9,-16.69,-3.36
233223.244497,0.254,0.944,0.153,15.72,-16.88,-5.04
233223.254480,0.256,0.948,0.143,19.14,-17.03,-7.05
233223.266912,0.254,0.94,0.129,20.91,-16.54,-9.09
233223.275528,0.248,0.936,0.116,20.94,-15.35,-11.2
233223.289884,0.246,0.945,0.112,19.1,-13.86,-13.18
233223.294969,0.242,0.961,0.105,15.75,-12.24,-14.68
233223.304946,0.234,0.978,0.102,11.51,-10.32,-15.59
233223.315507,0.223,0.994,0.104,7.08,-7.9,-16.69
233223.329335,0.212,1.013,0.112,3.42,-5.62,-16.85
233223.334891,0.204,1.026,0.122,0.43,-3.3,-16.24
233223.344172,0.197,1.03,0.128,-2.32,-1.28,-15.23
233223.354941,0.189,1.027,0.135,-4.21,0.31,-13.4
233223.365815,0.185,1.015,0.14,-4.18,1.28,-10.9
233223.375311,0.183,0.991,0.136,-2.66,1.92,-8.03
233223.389402,0.186,0.959,0.127,-1.01,2.26,-4.97
233223.394110,0.186,0.929,0.116,0.15,2.26,-2.17
233223.403942,0.188,0.899,0.1,0.34,1.92,0.64
233223.414528,0.192,0.872,0.089,-0.27,1.65,2.93
233223.424596,0.199,0.856,0.082,-0.89,1.22,4.03
233223.435492,0.203,0.851,0.078,-1.71,0.55,4.61
233223.445083,0.199,0.861,0.07,-2.5,-0.31,4.82
233223.455832,0.197,0.88,0.065,-2.84,-1.5,4.58
233223.469795,0.195,0.905,0.06,-1.86,-2.56,3.36
233223.474764,0.192,0.929,0.05,-0.34,-3.42,1.28
233223.484620,0.18,0.955,0.039,1.01,-4.36,-1.62
233223.494262,0.167,0.983,0.031,2.93,-5.31,-4.46
233223.505124,0.153,0.997,0.027,4.79,-5.83,-6.99
233223.515618,0.143,1.004,0.021,6.9,-5.92,-9.22
233223.525414,0.134,1.007,0.021,8.09,-5.43,-10.77
233223.539198,0.124,1.006,0.027,8.85,-4.73,-11.51
233223.545270,0.121,0.99,0.031,9.34,-3.36,-11.75
233223.554342,0.123,0.971,0.039,9.74,-1.62,-11.51
233223.565386,0.128,0.962,0.05,9.8,0.18,-10.71
233223.576490,0.135,0.957,0.05,10.22,2.26,-9.25
233223.585854,0.151,0.942,0.044,10.93,4.52,-7.35
233223.599029,0.171,0.929,0.039,10.5,6.53,-6.29
233223.604761,0.182,0.925,0.038,9.52,8.24,-5.95
233223.614151,0.191,0.924,0.039,8.3,9.52,-5.86
233223.624537,0.202,0.929,0.039,6.87,10.13,-6.01
233223.635478,0.208,0.941,0.035,5.4,10.35,-6.84
233223.645391,0.204,0.966,0.037,4.55,10.01,-7.48
233223.658903,0.198,0.995,0.039,4.82,9.13,-7.54
233223.666026,0.191,1.015,0.034,5.62,8.09,-7.39
233223.675609,0.189,1.033,0.028,6.04,6.96,-7.11
